opis;klasa
dzien dobry, ponownie zglaszam oficjalna skarge na brak odbioru workow z zielenia. nie zostaly one odebrane od naszego pierwszego zgloszenia, czyli od dnia 17.10.2017 roku. w zwiazku z powyzszym informuje, ze niniejsza wiadomoscia ponownie skladam oficjalna skarge na prace firmy odbierajacej odpady. prosze o podjecie natychmiastowych dzialan polegajacych na usunieciu zalegajacych odpadow. jednoczesnie prosze o odpowiedz kiedy odpady zostana odebrane.;Wywoz odpadow
 brak odbioru w dniu 30.10.2017r.  - wjazd na nieruchomosc od myjni samochodowej. worki soja przy parterowym budynku.;Wywoz odpadow
brak odbioru papieru zgodnie  z harmonogramem  z ul. ostroroga 42a ;Wywoz odpadow
brak odbioru plastiku z ul malaczynskich 62 brak odbioru odpadow harmonogramu na stronie internetowej;Wywoz odpadow
dzien dobry, w dniu 27.10.2017r. mielismy miec podstawiony na hallera 14b kontener na gabaryty, niestety nie bylo. napisalam 31.10.2017r. zapytanie w tej sprawie i prosba o jego podstawienie do dzisja nie ma, prosze o informacjeodpady:  pojemniki: ;Strefa Zarzadcy
prosba o pilne dostarczenie workow na zielone sztuk 20.;Pojemniki/worki na odpady
zgloszenie dotyczy wymiany pojemnika na odpady zmieszane z powodu jego uszkodzenia o poj. 120l dostawienia pojemnika na plastik poj. 120l  i zabranie jednego pojemnika na szklo bo sa dwa na ul.domeyki 16 tel 501479664;Pojemniki/worki na odpady
"szanowna pani !
przesylamy nasze propozycje miejsc podstawiania kontenerow na odpady wielkogabarytowe na osiedlu borek w
2018 r. przepraszamy za pewne opoznienie czasowe w nadeslaniu w/w propozycji.
pozdrawiamy
stanislaw rogala ro borek";Strefa Zarzadcy
brak odbioru odpadow zielonych z ul. swit 83b i brak workow szt -20;Pojemniki/worki na odpady
brak workow na bio-odpady sztuk 10 na ul. hippicza 3;Pojemniki/worki na odpady
"
szanowni panstwo,
jako administrator reprezentujacy wspolnote mieszkaniowa wesola 38-48 uprzejmie prosze o podstawienie kontenera na gabaryty w poblize nieruchomosci wesola 38-48. poprzedni kontener byl podstawiony w pazdzierniku, wiec listopadowy przysluguje wspolnocie za darmo.
dobrym miejscem na postawienie kontenera bylyby okolice oslony smietnikowej na tylach budynku (podworko).
prosze o potwierdzenie, w jakim terminie kontener zostanie podstawiony, zebym mogl z odpowiednim wyprzedzeniem powiadomic mieszkancow.
z powazaniem";Strefa Zarzadcy
"zgloszenie crm z-5122254-n7h4x7   wymaga odpowiedzi
tresc : zalegajace odpady zielone podrzucane przez dzialkowcow plus notorycznie nie sprzatane podworko 
odpowiedz prosze przeslac na adres malgorzata.lewandowska@ekosystem.wroc.pl
";Sprzatanie miasta
"dzialajac w imieniu i na rzecz wspolnoty mieszkaniowej przy ul. klasztornej 50-62 we wroclawiu 
prosimy o ponowne podstawienie kontenera na odpady wielkogabarytowe przy wjezdzie do garazu.
poprzedni, podstawiony byl zdecydowanie za krotko i w zlym miejscu.
 
prosze o informacje kiedy kontener bedzie podstawiony.
 
z powazaniem,
katarzyna panonko";Strefa Zarzadcy
"wlasciciel nieruchomosci zglaszal juz 02-11-2017 brak odbioru odpadow przez firme wywozowa.
pani mazul ponownie zglasza, ze od ponad 4 tygodni na przedmiotowej nieruchomosci zalegaja odpady zielone, szklo i papier. odpady sa przygotowane i czekaja przy posesji na odbior przez firme wywozowa- posesja jest bardzo dobrze oznaczona.
wlasciciel prosi o bardzo szybki odbior odpadow.";Wywoz odpadow
"dzien dobry, mielismy miec podstawiony kontener na gabaryty 27.10.2017r. , ale go nie bylo wyslalam juz kilka e-mail w tej sprawie bez odpowiedzi jestesmy nadal zainteresowani tym kontenerem.pozdrawiam
alicja walniczekodpady:  pojemniki: ";Strefa Zarzadcy
prosze o oproznienie pojemnikow przy ul. strzegomskiej 6 (mops). w ubieglym tygodniu pojemniki nie byly w ogole oprozniane. na ww. nieruchomosci odbywa sie zbiorka selektywna.;Wywoz odpadow
firma wywozowa nie odebrala odpadu zmieszanego, ktory lezal oparty o kontener na odpady komunalne zmieszane. pan nie rozumie dlaczego tak sie dzieje.;Wywoz odpadow
"witam,
zwracamy sie do panstwa z prosba o ponowna pomoc w podstawieniu kontenera 16m3 z ekosystemu w celu sprzatniecia mieszkania pani gawin eugenii zam. wroclaw ul tuwima 2/6. kontener byl juz podstawiony w dniach 03.10.br z firmy transformers oraz 13.10.br od panstwa. kontener, jest  nam niezbedny, gdyz sprzatanie przez wroclawska spoldzielnie socjalna zostalo rozbite na trzy dni robocze. podstawienie kontenera jest warunkiem wykonania zlecenia przez w/w spoldzielnie. klientka jest osoba samotna i nie jest w stanie sama poniesc kosztow podstawienia kontenera.
prosze o szybka odpowiedz, czy jest ponowna szansa na podstawienie  kontenera w ramach mozliwosci jak najszybciej.";Strefa Zarzadcy
brak workow na bio-odpady na ul. sulejowska 12 szt- 10,prosba mieszkania aby worki wrzucac na posesje  a nie zostawiac przy pojemnikach.;Pojemniki/worki na odpady
na ul. przybyszewskiego 27 wystawione byly dwa worki z bio-odpadami  a zabrano 1 worek zamiast dwoch prosba o interwencje. ;Wywoz odpadow
"witam 
jako zarzadca nieruchomosci zlecam podstawienie pojemnika do wywozy odpadow wielkogabarytowych dla wspolnoty mieszkaniowej znajdujacej sie we wroclawiu przy ulicy moscickiego 2-10, topolowa 1. pojemnik ustawic kolo zasieku smietnikowego przy ul. topolowej 1. najlepiej jakby zostal on podstawiony w pierwszym wolnym terminie. w razie szczegolowych pytan odnosnie miejsca ustawienia kontenerow prosze kontaktowac sie z administratorem budynku przemyslawem pisaniak tel. 609180410.";Strefa Zarzadcy
"dzien dobry,  
prosze o informacje ,czy istnieje mozliwosc zamowienie nieodplatnie kontenera na polamane galezie z drzew.
po przejsciu ostatnich orkanow/cyklonow mamy sporo polamanych konarow i galezi z drzew, ktorych nie jestesmy w stanie pociac i zmiescic do workow.";Strefa Zarzadcy
brak odbioru odpadow zmieszanych z ul. welniana 43a odbior mial byc 8.11 ;Wywoz odpadow
"witam,
uprzejmie informuje, ze nie otrzymalam odpowiedzi w sprawie podstawienia kontenera na gabaryty ul. wolbromska 3 we wroclawiu.";Strefa Zarzadcy
"zgloszenie crm  z-5135686-c9b2j6 wymaga odpowiedzi 
tresc: prosze o usuniecie. ktos zrobil sobie nielegalne wysypisko smieci. 
odp prosze przeslac na malgorzata.lewandowska@ekosystem.wroc.pl
";Sprzatanie miasta
"adres podstawienia kontenera zgodnie z zalacznikiem
opis miejsca podstawienia kontenera zgodnie z zalacznikiemodpady: odpady zielone pojemniki: kontenery";Strefa Zarzadcy
osoba mieszkajaca przy ul. wyscigowej 13 prosi o posprzatanie terenu przy ul. wyscigowej 15. osoba zglaszajaca nie wie do kogo teraz nalezy teren.;Sprzatanie miasta
"prosze o dostarczenie workow brazowych na odpady zielone (50 szt). dla ww. wspolnoty mieszkaniowej.
prosze o kontakt z p. a. radzik, tel. 509279928.";Pojemniki/worki na odpady
"witam
 
na lokalizacji slezna 210-212 pojemniki na odpady - nie sa blokowane kolka co spowodowalo podczas ostatnich silnych wiatrow uszkodzenie auta - poszkodowany osobno do panstwa wystapi z roszczeniem. prosze o blokowanie pojemnikow, jak rowniez stawianie ich po oproznieniu w tym samym miejscu co staly przed oproznieniem.
 
jaroslaw luczak
administrator nieruchomosci";Inne
"prosimy o pilne podstawienie kontenera np. 13.11.2017r. sprawa konsultowana z p. borkowskim z wpo alba
adres podstawienia kontenera chorwacka 45
opis miejsca podstawienia kontenera podworko nieruchomosciodpady: odpady wielkogabarytowe pojemniki: kontenery";Strefa Zarzadcy
zgloszenie dotyczy zabrania pojemnika na papier  a dostarczenia workow i zamiany pojemnika na odpady zmieszane ze 120l na 240l na ul. nefrytowa 21 tel 503116067;Pojemniki/worki na odpady
"z nieruchomosci korfantego 20a zabrano worki z odpadami zielonymi- 15 szt. zas z korfantego 20- 7 szt.
nie pozostawiono workow brazowych, prosze o dostarczenie (10 szt.)";Pojemniki/worki na odpady
"adres podstawienia kontenera: wroclaw ul. czajkowskiego 25
opis miejsca podstawienia kontenera: pojemnik prosimy postawic na trawniku przy bramie czajkowskiego 25
odpady: odpady zielone
pojemniki: kontenery";Strefa Zarzadcy
brak odbioru odpadow zielonych z rod braniewskiego prawdopodobnie odpady zalegaja od miesiaca pazdziernika;Strefa Zarzadcy
szkola podstawowa nr 83 prosi o dowiezienie 50 sztuk workow na odpady zmieszane ;Pojemniki/worki na odpady
zgloszenie dotyczy podstawienia pojemnika na papier o poj 60l na ul. hermanowska 71a;Pojemniki/worki na odpady
"na jezdnie zostalo nawiezione bloto i glina z placow budowy.
dokladny opis miejsca: nowy odcinek ulicy koscianskiej od strony zlotnickiej
adres nieruchomosci: ul. koscianska
rodzaj zgloszenia: pas drogowy - jezdnia, pas drogowy - chodnik
odpady: 
pojemniki: ";Sprzatanie miasta
osoba zglaszajaca prosi o dostarczenie workow brazowych na zielone odpady (dot. ul. oraczy 7, p. urszula tymek tel. 781417618).;Pojemniki/worki na odpady
"adres podstawienia kontenera: ul. pilsudskiego 15 - 17 wroclaw
opis miejsca podstawienia kontenera: atena&hjw sp. z o.o.zarzadca nieruchomosci uprzejmie prosze o jednorazowe  podstawienie  nieduzego kontenera na gabaryty dla nieruchomosci przy ul. pilsudskiego 15 - 17 we wroclawiu.prosimy o poinformowanie  zarzadcy atena&hjw sp. z o.o. o terminie podstawienia kontenera  dla powyzszej nieruchomosci
odpady: odpady wielkogabarytowe
pojemniki: kontenery";Strefa Zarzadcy
w dn. 08-11-2017 firma nie odebrala odpadow zielonych. prosze o zabranie zalegajacych odpadow i dostarczenie workow brazowych (ul. ciechocinska 14).;Wywoz odpadow
brak odbioru odpadow z tworzyw sztucznych z ul. opolska 17a. zgloszenie dotyczy rowniez chamskiego zachowania pracownikow firmy wywozowej, ktorzy odczytali pojemnik, ze odpad zostal odebrany i odstawili pojemnik na miejsce bez oproznienia. na pytanie  wlasciciela nieruchomosci dlaczego tak robia ? to panowie odpowiedzieli, ze maja zbyt malo odczytow do statystyki dlatego nie oprozniaja pojemnikow.;Inne
"osoba zglaszajaca prosi o podstawienie kontenera na odpady wielkogabarytowe dla ww. nieruchomosci (ul. wesola 38-48, wspolnota mieszkaniowa).
przekazano informacje dot. zgloszenia przez interaktywne centrum obslugi mieszkanca.";Strefa Zarzadcy
"zglaszajaca informuje, ze w dn. 10-11-2017 firma wywozowa dokonala odczyty gps nie zabierajac odpadow (1/2 smieci w pojemniku). pracownik zapytal czy odpady zostana zabrane. firma odjechala nie oprozniajac pojemnikow.
pani prosi o kontakt w tej sprawie, tel. 713736658.";Inne
"dzien dobry !
sm wroclawianka informuje, ze od conajmiej od 2-ch miesiecy, nie jest oprozniany pojemnik na zmieszane odpady komunalne z komory na smieci z budynku spoldzielni przy ul. klilinskiego 21-21a. podobno by problem z podjezdzaniem pod komore z powodu robot ziemnych przy nowobudowanym obiekcie. teraz jest juz dojazd i prosimy jak najszybciej wywiezc nagromadzone tam smieci, pozdrawiam czeslawa owczarewicz sm wroclawianka ";Wywoz odpadow
"dzien dobry, 
mieszkam w domu jednorodzinnym, mam umowe na wywoz odpadow segregowanych, ale otrzymalem od panstwa pojemniki na zmieszane szklo opakowania i papier; brakuje mi pojemnika na odpady biodegradowalne, poniewaz w domu sortujemy smieci rowniez na bio i jest ich dosc duzo. czy bylaby mozliwosc zamiany pojemnika na szklo na brazowy? najlepiej najmniejszy rozmiar, bo nie ma u nas duzo miejsca na kubly, a bio odbierane sa tak czy inaczej raz w tygodniu. pojemnik na szklo moglby zostac gdyby zamienic go rowniez na mniejszy. niestety nie mam pojecia jaka pojemnosc obecnie maja moje kubly.
z gory dziekuje za pomoc
jakub feiga
adres nieruchomosci: goldapska ul.,15
odpady: 
pojemniki: ";Pojemniki/worki na odpady
"prosze o podstawienie kontenera na wywoz odpadow (liscie) dnia 20.11.2017r. do zpo nr 3 ul. borowska 101 we wroclawiu.
adres nieruchomosci: borowska ul.,101
odpady: 
pojemniki: ";Pojemniki/worki na odpady
"witam, 
 prosze o usuniecie zanieczyszczen z pasa drogowego u. ostrzeszowskiej dz. nr 2, am-22, obreb osobowice, 
w zalaczeniu zdjecie ";Sprzatanie miasta
"dzien dobry
 
miejskie przedsiebiorstwo komunikacyjne we wroclawiu   tj. zaklad tramwajowy nr 1 przy ulicy kamiennej 74  sklada zapotrzebowanie na  50 szt. workow na odpady zielone. worki prosimy o pozostawienie na portierni zakladu.
ps. wiadomosc dla mpk: dzisiaj 13-11-2017j ekosystem ma dzien wolny.";Pojemniki/worki na odpady
"osoba zglasza ze w dniu dzisiejszym firma wywozowa ma odbierac odpady zmieszane z ul. golnowskiej 22.
w ubieglym tygodniu firma nie odebrala odpadow (zmieszanych), w dniu dzisiejszym osoba widzi ze sasiedzi maja oproznione pojemniki.
prosze o interwencje.";Wywoz odpadow
"prosze o dostarczenie do biura spoldzielni gajowicka 177 workow na liscie w ilosci 1000 szt do uzytku dla wszystkich zasobow spoldzielni
adres nieruchomosci: sokola ul.,51
odpady: 
pojemniki: ";Pojemniki/worki na odpady
mieszkaniec prosi o  dezynfekcje pojemnikow na ul. walbrzyska 2a;Pojemniki/worki na odpady
"prosze o dostarczenie pojemnikow na papier o pojemnosci 110  2- szt., pojemniki na tworzywa o pojemnosci 75 2-szt - (dwie oslony smietnikowe,)  na nieruchomosc przy ul. daliowej 76-130, jednoczesnie prosze zabrac dwa pojemniki na papier o pojemnosci 75.
adres nieruchomosci: daliowa ul.,76
odpady: 
pojemniki: ";Pojemniki/worki na odpady
prosze o dostarczenie wokow na odpady zielone na ul. beniowskiego 14/1 sztuk 30;Pojemniki/worki na odpady
prosze o dostarczenie workow na odpady- z kazdego 10 szt. workow (dot. papieru, plastiku, szkla, odpady bio). na ww. nieruchomosci odbywa sie selektywna zbiorka odpadow.;Pojemniki/worki na odpady
"termin: 28.11.2017r.
adres podstawienia kontenera: kosciuszki 160
opis miejsca podstawienia kontenera: podworko
odpady: odpady wielkogabarytowe
pojemniki: kontenery";Pojemniki/worki na odpady
prosze dostarczyc pojemnik na nieruchomosc rydza-smiglego 9 (dot. zamiany worka na pojemnik), ;Pojemniki/worki na odpady
osoba zglaszajaca prosi o dostarczenie pojemnika na odpady zmieszane z uwagi na kradziez pojemnika. na ww. nieruchomosci odbywa sie selektywna zbiorka odpadow (dot. ul. wilcza 36).;Pojemniki/worki na odpady
"zabranie workow z liscmi.
adres podstawienia kontenera: wszystkie oslony smietnikowe
odpady: odpady zielone
pojemniki: kontenery";Wywoz odpadow
prosze aby firma wywozowa odebrala odpady zielone z ww. nieruchomosci (ok. 10/15 workow zalega). prosze o dostarczenie workow brazowych- 30 szt. workow. na ww. nieruchomosci odbywa sie selektywna zbiorka odpadow.;Wywoz odpadow
prosze o dostarczenie  30 sztuk workow na odpady zielone na ul. sowia 15a. mieszkaniec skarzy sie, ze po raz kolejny firma  nie dostarczyla workow.;Pojemniki/worki na odpady
"prosze o podstawienie kontenera na gabaryty w grudniu 2017. dobrym miejscem jest podworko na tylach budynku (np. kolo oslony smietnikowej).
ponadto ze wzgledu na liczne prace remontowe zaplanowane na lata 2018-2019 (oraz ze wzgledu na fakt, ze i tak bardzo czesto wnioskujemy o jednorazowe podstawienie kontenera) prosze o dodanie wspolnoty mieszkaniowej wesola 38-48 do harmonogramu comiesiecznego wywozu gabarytow na rok 2018 (i 2019, jesli jest taka mozliwosc). szacujemy, ze 1 kontener na gabaryty bedzie nam niezbednie potrzebny.
pozdrawiam.
artur bobik
administrator nieruchomosci
expert dom
adres nieruchomosci: wesola ul.,38
odpady: 
pojemniki: ";Strefa Zarzadcy
"osoba zglasza brak pojemnika na szklo, wlasciciel nie wie co sie z nim stalo. na ww. nieruchomosci odbywa sie selektywna zbiorka odpadow. prosze o dostarczenie pojemnika na szklo (120 l).
pan prosi o kontakt w tej sprawie tel. 501792132 lub e- mail: grudnoru@gmail.com.";Pojemniki/worki na odpady
"w dniu 28.11.2017 wplaynela kolejna wiadomosc: 
dzien dobry
ponownie przesylam moje pytanie o realizacje sprawy
z powazaniem 
maciej stojak
dzien dobry
od zgloszenia wam tematu przez operatora minal tydzien
bardzo prosze o informacje na jakim etapie znajduje sie przedmiotowe zgloszenie.
z powazaniem

maciej stojak
#@140604#@ alunowa - zanieczyszczona nawierzchnia - nr zgloszenia
zespol dyspozytorow zdium przesyla zgloszenie zgodnie z kompetencjami do sluzbowego wykorzystania. o podjetych dzialaniach prosimy powiadomic zglaszajacego poslugujac sie podanym wyzej nr id.  
zglaszajacy : maciej stojak
telefon :
telefon komorkowy :
mail : maciej.stojak@wp.pl
data  zgloszenia : 15:02:42,2017.11.14
kategoria : inne
podkategoria : zanieczyszczenie nawierzchni
 
ulica : alunowa ul.
lokalizacja : alunowa
opis :
dzien dobry,
niniejszym zglaszam, ze na 
ulicy alunowej w nawierzchni asfaltowej sa znaczne ubytki, ktore za chwile powieksza sie w znaczne dziury 
i spowoduja powazniejsze szkody.
jednoczesnie zglaszam, ze na ulicy zalega wielocentymetrowa warstwa blota i piasku. od czasu wybudowania ulicy w roku 2010 nigdy nie byla ona zamiatana przez zamiatarke.
mimo moich wczesniejszych telefonow nikt z dyspozytorow nie skierowal wlasciwych sluzb, stad mailowa forma zgloszenia.
z powazaniem 
maciej stojak, alunowa 14b";Sprzatanie miasta
"ponad 2 tygodnie temu wyslano wiadomosc e- mail w sprawie dostarczenia workow dla sm osada- do dnia dzisiejszego nie dostarczono workow.
prosze o dostarczenie workow (500 szt.) na odpady bio dla sm osada, ul. alpejska 7.";Pojemniki/worki na odpady
droga dw342 od obornik slaskich w strone wroclawia, na nowej jezdni na moscie pegowskim (rzeka widawa) cala jezdnia w obydwu kierunkach jest brudna i pelna bruzd z ziemi. ziemia zalegajaca na jezdni stwarza niebezpieczenstwo dla kierujacych (mozna wpasc w poslizg). prosba o posprzatanie tej jezdni na calym odcinku i utrzymywanie jej w czystosci.;Sprzatanie miasta
"w dniu 15-11-2017 brak odbioru plastiku z ww. nieruchomosci.
prosze o odbior odpadu z ww. nieruchomosci.";Wywoz odpadow
"dzien dobry,
10.11.2017 wyslalam zgloszenie do firmy trans-formers z prosba o podstawienie pojemnikow na nowa wm babiego lata 4. otrzymalam odpowiedz mailowo , ze pojemniki beda podstawione w poniedzialek tj.13.11.2017.
niestety do dnia dzisiejszego pojemnikow nie ma na terenie wm babiego lata 4.
wlasciciele pomimo wnoszonych oplat nie maja gdzie wyrzucac odpadow.
w zwiazku z zaistniala sytuacja dokonamy korekty zlozonej deklaracji, poniewaz do dnia dzisiejszego nie ma pojemnikow.
z powazaniem
joanna ogorek";Pojemniki/worki na odpady
"witam,
ponownie chcialbym zlozyc reklamacje/skarge na wywoz smieci z posesji przy ul. mieroszowskiej 15-15c we wroclawiu - tym razem chodzi o tworzywa sztuczne, metale, opakowania wielomaterialowe. odpady te mialy byc wywiezione zgodnie z grafikiem  w dniu wczorajszym tj. 15.11.2017. oczywiscie odpady te do dnia dzisiejszego nie zostaly wywiezione. zreszta taka sytuacja sie juz niejednokrotnie powtorzyla i nie byl to pierwszy raz. chodzi o wywoz nie tylko plastikow, ale takze o tekture. 
dla przykladu podam, ze papier/tektura mialy zostac wywiezione w dniu 02.11.2017, a zostaly wywiezione dopiero po interwencji telefonicznej w dniu 3.11.2017.
w zwiazku z powyzszym chcialbym sie dowiedziec co jest przyczyna takiego stanu rzeczy - skrajna slepota/glupota osob, ktore zbieraja stosowne smieci czy tez jakies celowe dzialanie?
 bardzo prosze o rzeczowa odpowiedz, gdyz zamierzam sprawa wroclawskiego sposobu wywozu odpadow zainteresowac media. przy tej okazji mam rowniez prosbe, aby nie wysylac (tak jak poprzednio) zapisow z gps samochodow odbierajacych odpady - mnie interesuja po prostu wywiezione smieci a nie trasa jaka sie poruszaja samochody chemeko i jest to dla mnie bez znaczenia, ze samochod chemeko przejedzie obok mojej posesji, ale nie zabierze odpadow.
w zalaczeniu przesylam zdjecie odpadow plastikow, ktore czekaja na odbior - stan na dzien 16.11.2017 godz. 17.00
pozdrawiam
piotr kasprzak";Inne
pojemnik uszkodzony / popekana klapa / mieszkaniec prosi o wymiane ;Pojemniki/worki na odpady
prosze o dostarczane 50 sztuk workow na odpady zielone do pogotowia ratunkowego na ul. ziebicka 34-38 do pokoju nr 218;Pojemniki/worki na odpady
"osoba zglaszajaca prosi o uprzatniecie terenu rog ul. jasienicy/ rog pawia (wojszyce).
do czwartku znajdowaly sie tam kontenery na odpady zmieszane, firma przyjechala i zabrala kontenery a smieci lezace na ziemi pozostawiono. osoba zglaszajaca poinformowala ze jest tam droga nieutwardzona, ma byc remontowana i piasek zostal rozladowany na zalegajace smieci. osoba zglaszajaca potwierdza, ze teren nalezy do gminy, tel. 713644704 lub 606453530.";Sprzatanie miasta
prosze o wymian pojemnika na odpady zmieszane o poj. 120l. z powodu jego uszkodzenia- brak klapy na ul. trzmielowicka 43a;Pojemniki/worki na odpady
"dzien dobry,
dzialajac w imieniu i na rzecz wspolnoty mieszkaniowej polozonej we wroclawiu przy ul. granicznej 2c-2ch
w nawiazaniu do mojego zgloszenia mailowego z dnia 06.11.2017r. w ktorym prosilam o uzupelnienie naklejek na kontenerach informujacych o rodzaju odpadow, ktore nalezy wrzucic do kontenera, informuje ze prace nie zostaly wykonane z nalezyta starannoscia.
w zalaczeniu przesylam zdjecie oslony przynaleznej do nieruchomosci graniczna 2c-2ch. zdjecie zostalo wykonane w sobote (18.11.2017r.) po odbiorze odpadow. jak mozna zauwazyc, pojemniki sa tak obrocone, ze nie sposob ich zidentyfikowac.
uprzejmie prosze o uzupelnienie naklejek.
pozdrawiam,
emilia roslik
nawigator nieruchomosci";Strefa Zarzadcy
"prosze o podstawienie na nieruchomosci przy ul. dolnobrzeskiej 34 duzego pojemnika okolo 20m3 na odpady zmieszane. na nieruchomosci  trwaja prace rozbiorkowe pomieszczen gospodarczych/komorek , w ktorych to lokatorzy pozostawili wszelkiego rodzaju odpady. z uwagi na fakt iz prace rozbiorkowe wykonywane na podstawie umowy maja okreslony termin prosimy o pilne podstawienie kontenera. nieruchomosc  przez wnisn przeznaczona zostanie do sprzedazy w drodze przetargu. prosimy o kontakt telefoniczny.
adres nieruchomosci: dolnobrzeska ul.,34
odpady: 
pojemniki: ";Pojemniki/worki na odpady
prosze o dostarczenie 10 sztuk workow na odpady zielone na ul. dyrekcyjna 5-7  do angele care centrum seniora;Pojemniki/worki na odpady
"dzien dobry,
chcialabym sie dowiedziec jaki jest harmonogram oczyszczania wyzej wymienionego terenu. 
z wyrazami szacunku,
katarzyna laszkiewicz
dokladny opis miejsca: lacznik miedzy pradzynskiego a swistackiego - przez wakacje byl w budowie, teraz powstala nowa droga i pozostawiono pas zieleni
adres nieruchomosci: ul. pradzynskiego 11/1
rodzaj zgloszenia: pas drogowy - jezdnia, pas drogowy - zielence
odpady: 
pojemniki: ";Sprzatanie miasta
"bardzo prosze o pilne podstawienie pojemnika na odpady zielone
adres podstawienia kontenera: drohobycka 1-3, wroclaw
opis miejsca podstawienia kontenera: jedno z miejsc parkingowych, skrajne, by nie uszkodzic pojazdow
odpady: odpady zielone
pojemniki: kontenery";Strefa Zarzadcy
"#@140906#@ rondo reagana -utylizacja plynow eksploatacyjnych - nr zgloszenia
zglaszajacy : straz pozarna jrg2
telefon :
telefon komorkowy :
mail :
data  zgloszenia : 16:54:09,2017.11.20
kategoria : inne
podkategoria : zanieczyszczenie nawierzchni
 
ulica : reagana ronalda rondo
lokalizacja : rondo reagana, w kierunku szczytnickiej i mostu grunwaldzkiego, po stronie pasazu grunwaldzkiego
opis :
zgloszono, ze samochod wjechal w murek od przejscia podziemnego, w wyniku czego doszlo do wycieku plynow eksploatacyjnych.
20.11.2017  16:53  zgloszono do wpo-alba. ";Sprzatanie miasta
mieszkaniec zglasza swoje nie zadowolenie z ustawienia pojemnikow , ktore sa ustawione na chodnik, zwraca rowniez uwage, ze jest trudny dostep do pojemnikow, ktore znajduja sie w drugim rzedzie pani jest osoba starsza i ma problem z wyrzucaniem odpadow,  dotyczy to ul okrzei 20 rog 1 dywizji  i okrzei rog dembowskiego. zglasza rowniez, ze generalnie jest od dluzszego czasu nieporzadek i zalegajace smieci. pani prosi o odpowiedz co w tej sprawie zostanie zrobione.tel 667703709 prawdopodobnie jest to teren gminny. ;Inne
"na ulicy znajduja sie smieci, ktore wysypaly sie z kublow.
dokladny opis miejsca: obok wjazdu na teren budynku nr 7 i kublow na smieci.
adres nieruchomosci: oficerska 7-8
rodzaj zgloszenia: pas drogowy - jezdnia
odpady: 
pojemniki: ";Sprzatanie miasta
ponowione zgloszenie dotyczace braku odbioru szkla z ul. wyscigowej 28. pomimo zapewnienia ze odpady zostana odebrane firma wywozowa nie zrealizowala zgloszenia z dnia 17.11.2017. sprawa jest pilna, prosze o wykonanie zgloszenia.;Wywoz odpadow
brak wywozu workow z odpadami zielonymi w dniu 20-11-2017, na calej ww. ulicy zalegaja worki. od ponad 2 tygodni firma nie dostarcza workow brazowych. pan prosi o interwencje.;Wywoz odpadow
"adres podstawienia kontenera: wybrzeze conrada korzeniowskiego 4
opis miejsca podstawienia kontenera: kontener na odpady wielkogabarytowe dodatkowo prosimy podstawic na ul. wybrzeze conrada korzeniowskiego 4 w podworzu przy oslonie smietnikowej.
odpady: odpady wielkogabarytowe
pojemniki: kontenery";Strefa Zarzadcy
