opis;klasa
"temat: uszkodzenie pojemnika – koniecznosc wymiany
odpady: zmieszane odpady komunalne
pojemniki: pojemnik 80l
opis: dzien dobry. poznym wieczorem zauwazylam rozprzestrzeniajacy sie ogien w kuble. ktos z przechodniow wrzucil do kubla cospalacego sie wychodzac na balkon zauwazylam ze pali sie ogien w kuble. pobieglam go szybko ugasic wodai zauwazylam ze wypalona jestbardzo duza dziura. kubel nie nadaje siedo wyrzucania odpadow mieszanych. prosze o wymiane pojemnika 80 litrowego przyposejsi przyul aleja roz19/2 we wroclawiu brochowie. z powazaniem magdalena skuza";Pojemniki/worki na odpady
"temat: pas drogowy – zielence
dzielnica: fabryczna
opis miejsca: przy kladce zlotnickiej
opis: duzo plastikowych smieci na trawniku i skarpie przy wejsciu na kladke zlotnicka od strony parku";Sprzatanie miasta
"temat: tereny zewnetrzne – wnetrza podworzowe
dzielnica: krzyki
opis miejsca: dz. nr 37, am-27, obreb poludnie
opis: zalegaja smieci na trawniku  od strony podworza nr dz.37 am-27, obreb poludnie";Sprzatanie miasta
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: zmieszane odpady komunalne
pojemniki: pojemniki 60-1100 l
opis: w miniony czwartek nie odebrano odpadow zmieszanych, poinformowano ekosystem telefonicznie w dniu 01.03.2019. nadal nie zostaly odebrane, pojemniki przepelnione jak rowniez pozostawione odpady wokol. prosze o rychle oproznienie i zabranie pozostawionych odpadow obok.";Wywoz odpadow
"temat: tereny zewnetrzne – inne
dzielnica: psie pole
opis miejsca: rada osiedla kowale zwraca sie z prosba o uporzadkowanie terenu wokol sciezki prowadzacej
od przedluzenia ul.wegoborskiej przez torowisko kolejowe, az do ul.elckiej.wzdluz tego terenu
zgromadzilo sie pelno smieci(butelek szklanych, plastikowych, puszek po piwie itp.)
niestety swiadczy to zle o mieszkancach, zwlaszcza o tej czesci, ktora naduzywa alkoholu.
bardzo nam zalezy na oczyszczeniu tego miejsca,poniewaz tamtedy wiele osob przechodzi skracajac sobie droge do petli tramwajowej.
opis: jw";Sprzatanie miasta
"temat: mycie pojemnika
odpady: zmieszane odpady komunalne
pojemniki: pojemnik 360l
opis: dzialajac na rzecz i w imieniu wspolnoty mieszkaniowej przy ul. daszynskiego 12 we wroclawiu prosimy o wyczyszczenie pojemnikow na odpady zmieszane.";Pojemniki/worki na odpady
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: zmieszane odpady komunalne
pojemniki: pojemniki 60-1100 l
opis: brak wywozu odpadow na ww adresie. prosze o interwencje.";Wywoz odpadow
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: odpady zielone
pojemniki: worki
opis: witam, 
zglaszam brak wywozu choinek zgodnie z harmonogramem. od miesiaca nikt nie zabrala odpadow zielonych. prosze o pilna interwencje.";Wywoz odpadow
"temat: dzikie wysypiska
dzielnica: krzyki
opis miejsca: na calej dlugosci ulicy od orlika do skrzyzowania z moscickiego.
opis: na calej dlugosci ulicy od orlika do skrzyzowania z moscickiego sukcesywnie przybywa odpadow w postaci zuzytego agd (lodowki), mebli, opon, innych odpadow w workach plastikowych.";Sprzatanie miasta
"temat: przepelnienie pojemnika
odpady: zmieszane odpady komunalne
pojemniki: pojemniki 60-1100 l
opis: dzien dobry,
 na osiedlu przy ul. miedzyleskiej 1-3g we wroclawiu, wszystkie kontenery na wszystkie odpady sa przepelnione. prosze o jak najszybszy odbior, poniewaz za chwile nie bedzie dostepu do kontenerow z powodu przepelnienia i ekipy ponownie nie beda odbierac odpadow.
z gory dziekuje za pomoc,";Wywoz odpadow
"temat: tereny zewnetrzne – inne
dzielnica: krzyki
opis miejsca: teren zielony pomiedzy ulicami semaforowa, afganska, pakistanska.
opis: teren zielony zanieczyszczony odpadami glownie plastikowe torebki, butelki.";Sprzatanie miasta
"temat: tereny zewnetrzne – chodniki
dzielnica: krzyki
opis miejsca: przedszkole nr 50 'maly kolejarz', ul.dyrekcyjna 15, 50-528 wroclaw
opis: przedszkole nr 50 prosi o montaz 2 koszy ulicznych (malych) przy chodniku przed budynkiem przy ul.dyrekcyjnej 15. prosbe swoja motywujemy tym, iz w ciagu dnia jest bardzo duzo smieci (papierkow, butelek, niedopalkow, itp). p-50 jest duzym przedszkolem miedzy skrzyzowaniami joannitow i borowska. odleglosci od kosza do kosza przy w/w skrzyzowaniach sa znaczne. nasilenie ruchu pieszego miedzy tymi skrzyzowaniami (po stronie przedszkola) jest bardzo duze. jestesmy placowka oswiatowa i promujemy wsrod naszych wychowankow utrzymywanie czystosci, segregowanie smieci i dbanie o porzadek. widok zasmieconego chodnika przed przedszkolem, do ktorego uczeszczaja dzieci jest nieestetyczny i niechlujny. wnioskowane przez nasz kosze pozwolilyby utrzymac czystosc przed budynkiem. nadmieniamy, ze sami dbamy o porzadek na chodniku przed budynkiem. bardzo prosimy o pozytywne rozpatrzenie naszej prosby.";Inne
"temat: dzikie wysypiska
dzielnica: krzyki
opis miejsca: teren zielony pomiedzy ulica gazowa o terenami przemyslowymi. po prawej stronie zjezdzajac z wiaduktu (oznaczone jak na zalaczonej mapce)
opis: teren zielony zanieczyszczony odpadami zuzyty sprzet agd, budowlane.";Sprzatanie miasta
"temat: przepelnienie pojemnika
odpady: papier i tektura
pojemniki: pojemniki/dzwony do zbiorki selektywnej
opis: szanowni panstwo
zwracam sie z prosba o czestsze oproznianie pojemnikow na papier na nieruchomosci iwaszkiewicza 20-28. czy istnieje taka mozliwosc?";Inne
"temat: tereny zewnetrzne – wnetrza podworzowe
dzielnica: krzyki
opis miejsca: nr dz.37, am-27, obreb poludnie
opis: uporzadkowanie terenu zewnetrznego od strony podworka- smieci na trawniku";Sprzatanie miasta
"temat: tereny zewnetrzne – wnetrza podworzowe
dzielnica: psie pole
opis miejsca: lokatorzy zwracaja sie z prosba o posprzatanie wnetrza podworzowego
opis: lokatorzy zwracaja sie z prosba o posprzatanie terenu podworza";Sprzatanie miasta
"temat: inne
opis miejsca: oslona smietnikowa.
opis: kolejny raz zglaszam iz nie sa zamykane pokrywy pojemnikow, w oslonie smietnikowej.";Inne
"temat: zapytanie o harmonogram
odpady: zmieszane odpady komunalne
pojemniki: pojemniki 60-1100 l
opis: dzien dobry, 
informuje, ze deweloper wykonal czesc drogi dojazdowej - jest juz mozliwosc ustawienia pojemnikow w wiacie dla adresow naleczowska 1, 3, 5 ,7? 
pozdrawiam,";Inne
"temat: podstawienie dodatkowego pojemnika na odpady
odpady: zmieszane odpady komunalne
pojemniki: pojemnik 1100l
opis: prosze o podstawienie pojemnika 1100l na zmieszane odpady komunalne na adres wskazany w zgloszeniu.";Pojemniki/worki na odpady
"temat: przepelnienie pojemnika
odpady: zmieszane odpady komunalne
pojemniki: pojemniki 60-1100 l
opis: dzien dobry
mieszkam przy ulicy cooka 4. mamy wspolne pojemniki na smieci z bramami: cooka 4, 6, 8, 10, 12, 14, 16.
pojemniki sa przepelnione, smieci sie wysypuja. dotyczy to pojemnikow na smieci zmieszane, ale plastik i papier tez sa przepelnione.
wydaje mi sie ze smieci sa za rzadko przez panstwa odbierane.
prosze o interwencje.";Wywoz odpadow
"temat: pas drogowy – zielence
dzielnica: fabryczna
opis miejsca: zieleniec w pasie drogowym na wysokosci nieruchomosci lubuska 70-78
opis: na zielencu w pasie drogowym terenu miejskiego na wysokosci nieruchomosci lubuska 70-76 postawiono kontener na gabaryty dla potrzeb wspolnot miejskich. po moim zgloszeniu kontener zabrano natomiast pozostawiono szpecace luzy- w obecnej chwili smieci sa dorzucane i robi sie wysypisko- bardzo prosze o szybka i skuteczna interwencje oraz  zwrocenie uwagi firmom odbierajacym, iz maja w obowiazku wrocic po tzw luzy.";Sprzatanie miasta
"temat: brak worka na odpady
odpady: papier i tektura
pojemniki: worek 120l
opis: brak workow na odpady 'papier i tektura'";Pojemniki/worki na odpady
"temat: tereny zewnetrzne – chodniki
dzielnica: srodmiescie
opis miejsca: chodnik i pas zieleni wzdluz posesji przy ul. tramwajowej 32
opis: szanowni panstwo,
w ramach rewitalizacji wuwy (osiedle dabie) z czesci chodnika zostal wydzielony i utworzony pas zieleni - obsadzony zywoplotem wzdluz ogrodzenia przy posesji przy ul. tramwajowej 32. niestety obszar ten nie zostal ujety na mapie dla firmy sprzatajacej. efekt jest taki, ze od kilku miesiecy (od czasu zakonczenia przebudowy chodnika i utworzenia pasa zieleni) nikt nie dba ani o nowy zywoplot ani o czystosc chodnika. w pasie zieleni zalegaja liscie z pobliskich debow (ktore opadly jesienia), a chodzik, choc nowy, jest brudny. firma sprzatajaca dba o chodnik wzdluz niemal calej ulicy tramwajowej od nr 4 do 28/30. ale pomija czesc od nr 28/30 do skrzyzowania z ulica dembowskiego (w tym wzdluz posesji nr 32). pragne zaznaczyc, ze obecnie chodnik nie przylega bezposrednio do prywatnej posesji, lecz do pasa zieleni - terenu nalezacego do miasta.";Sprzatanie miasta
"temat: pas drogowy - jezdnia
dzielnica: krzyki
opis miejsca: jutrzenki 11-19
opis: ponawiam zgloszenie dotyczace sprzatania ulicy jutrzenki do numeru 19";Sprzatanie miasta
"temat: inne
opis: dzien dobry.
regularnie podczas odbioru odpadow papierowych, pojemnik jest zostawiany ponad 100m od miejsca z ktorego jest zabierany. zdjecie z dzisiaj.
prosze poinstruowac pracownikow, zeby odstawiali pojemniki chociaz pod granice posesji z ktorej zostaly zabrane. wydaje mi sie ze przenoszenie pojemnika z kazdym razem o 100m nie nalezy do moich obowiazkow.";Inne
"temat: inne
opis miejsca: posesja al. poprzeczna 37 b
opis: prosimy o pilne odebranie uschnietych choinek, ktore  stoja przy smietniku za brama wjazdowa  posesji al. poprzeczna 37b  od 02.02.2019";Wywoz odpadow
"temat: tereny zewnetrzne – inne
dzielnica: krzyki
opis miejsca: teren u zbiegu ulicy krzyckiej i zyczliwej przy bloku 92a
opis: prosze panstwa, w dniu 21 lutego zglosilem prosbe o uporzadkowanie wspomnianego terenu. 25 lutego otrzymalem informacje od ekosystemu o uprzatnieciu (w zalaczeniu) 
prosze panstwa..w zalaczeniu zdjecia terenu....czy to mozna nazwac posprzataniem? jakies deski i butelki leza nadal, koleiny rozjezdzone sa nadal ..prosze  panstwa to jest kpina i zart ze mnie ze w ogole taka odpowiedz zostala mi przeslana. prosze mi powiedziec czy tak pabstwo sprzatacie swoje ogrodki czy podworka? nie wierze... prosze o poprawe, posprzatanie i wyrownanie terenu. i prosze mi nie wysylac zdawkowych odpowiedzi.  
dla ulatwienia zalaczam zdjecie podobnego terenu 'niczyjego' - u zbiegu ulic przyjazni i krzyckiej ktory zostal ladnie posprzatany, ogrodzony i zagospodarowany naprawde niewielkim kosztem.. czy nie mozna czegos takiego zrobic i tutaj.
czy wiedza panstwo do kogo nalezy teren zaznaczony strzalkami i kto go posprzatal?";Sprzatanie miasta
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: zmieszane odpady komunalne
pojemniki: pojemniki 60-1100 l
opis: kontenery nie sa wywozone zgodnie z  harmonogramem przez co pojemniki sa przepelnione i smieci leza wokol oslony. prosze o pilna interwencje";Wywoz odpadow
"temat: tereny zewnetrzne – inne
dzielnica: stare miasto
opis miejsca: zlotoryjska 3 ,przed blokiem naprzeciwko balkonow na drodze i czesciowo na trawniku stoi od jesieni kontener na odpady  wielkogabarytowe.
opis: od jesieni przed blokiem naprzeciwko balkonow stoi kontener na odpady wielkogabarytowe, nie jest on oprozniany. zajmuje czesc drogi i trawnika. mieszkancy skarza sie na balagan. prosze o odpowiedz czy kontener nalezy do ekosystemu, jesli tak to kiedy zostanie oprozniony. odpowiedz prosze skierowac na maila.";Inne
"temat: tereny zewnetrzne – inne
dzielnica: krzyki
opis miejsca: petla tramwajowa 'park poludniowy' - tory postojowe przy nasypie kolejowym
opis: witam,
prosze podjac interwencje na petli tramwajowej park poludniowy, przy torach postojowych w parku nagromadzilo sie bardzo duzo smieci, podrzucono takze kilka workow ze smieciami.
w zalaczniki mapa z lokalizacja porzuconych smieci.";Sprzatanie miasta
"temat: inne
opis: prosze o przeslanie formularza 'deklaracji smieciowej' . nie ma ich ani na stronie wroclaw.pl ani na panstwa. w sensie odeslania sa do '404, strona nie istenieje'. pozdrawiam,
jl";Inne
"temat: dzikie wysypiska
dzielnica: psie pole
opis miejsca: rog ul. soltysowskiej jadac od ul. krzywoustego za przejazdem kolejowym na skwerze zieleni (przy banerze reklamujacym  tor kartingowy)
opis: - sterta elektrosmieci np. czesci do komputerow i ladowarki do tel. komorkowych itp";Sprzatanie miasta
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: odpady zielone
pojemniki: worki
opis: nie wywiezione ok.20 szt workow z liscmi";Wywoz odpadow
"temat: inne
opis miejsca: szkola |podstawowa nr 99 ul. bytomska 7
opis: w dniu 04.03.2019 podczas zabierania smieci zostal uszkodzony kontener na odpady mieszane. odpadla pokrywa gorna i prawdopodobnie wpadla do smieciarki razem ze smieciami i uszkodzony zostal bok kontenera. prosimy o dostarczenie nowego kontenera.";Pojemniki/worki na odpady
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: zmieszane odpady komunalne
pojemniki: pojemniki 60-1100 l
opis: dzien dobry,
01.03.2019 nie zostaly zabrane zmieszane odpady z naszej nieruchomosci. 
w zalaczeniu zdjecia wypelnionych pojemnikow. 
w weekend nasz biurowiec nie pracuje.
pozdrawiam,
marianna gordowy";Wywoz odpadow
"temat: zapytanie o harmonogram
odpady: tworzywa sztuczne, metale, opakowania wielomaterialowe
pojemniki: worki
opis: po raz trzeci uprzejmie prosze o wrzucenie harmonogramu do skrzynki, ul. dozynkowa 11 c";Wywoz odpadow
"temat: dzikie wysypiska
dzielnica: krzyki
opis miejsca: dzikie wysypisko zlokalizowane w okolicach przeciecia grobli opatowickiej wschodniej i ul. opatowickiej.
w okolicy brak zabudowan - najblizszy nr to ul. opatowicka 156.
opis: dzikie wysypisko zlokalizowane w okolicach przeciecia grobli opatowickiej wschodniej i ul. opatowickiej. w okolicy brak zabudowan - najblizszy nr to ul. opatowicka 156. posiadam zdjecie ale plik jest za duzy i panstwa system nie chce go przyjac (4 mb!!!), prosze o kontakt mailowy przesle zdjecie wyznaczonemu pracownikowi.";Sprzatanie miasta
"temat: przepelnienie pojemnika
odpady: papier i tektura
pojemniki: pojemniki 60-1100 l
opis: dzien dobry.
zgodnie z harmonogramem wywozu odpadow dostepnym na panstwa stronie internetowej, nie przewiduje sie odbioru makulatury z mojej posesji, pomimo, iz do tej pory odbywal sie on regularnie. uprzejmie prosze o informacje, czy harmonogram w najblizszej przyszlosci zostanie uzupelniony o odbior odpadow papierowych, a takze prosze o wyslanie odpowiedniej brygady, ktora zabierze zgromadzona w smietnikach makulature.
sprawa jest dosc pilna, poniewaz w pojemnikach nie ma juz miejsca na kolejne odpady.
z wyrazami szacunku,
konrad makar";Wywoz odpadow
"temat: pas drogowy – zielence
dzielnica: fabryczna
opis miejsca: ul. stargardzka, kierunek od ul. metalowcow do bez wylotu, strona lewa, przy nr 7-9
opis: duza ilosc dpadow na zielencach - prosba o usuniecie.";Sprzatanie miasta
"temat: pas drogowy - jezdnia
dzielnica: fabryczna
opis miejsca: ul. jerzmanowska, kierunek od ul. adamczewskich do ul. rdestowej, strona prawa, jezdnia, przed nr 102, skrzyzowanie z ul. adamczewskich
opis: odpady w pasie drogowym - materac i plastikowa skrzynka z gruzem. prosba o usuniecie";Sprzatanie miasta
"temat: tereny zewnetrzne – chodniki
dzielnica: fabryczna
opis miejsca: nowo wybudowany skwer , teren przy wyjsciu ze stacji mikolajow w kierunku ul. jaworskiej i  biurowcow b.garden.
opis: caly pas zieleni jest zanieczyszczony smieciami. skwer to doslownie wysypisko. podany adres jest zgodny w zakresie ulicy , nie ma mozliwosci wyboru miejsca na mapie , a skwer nie ma nr adresowego";Sprzatanie miasta
"temat: pas drogowy – chodnik
dzielnica: fabryczna
opis miejsca: lacznik stefki  i kupieckiej oraz kupiecka
opis: mocna zasmiecone pobocza: plastiki, butelki, jakies kanistry";Sprzatanie miasta
"temat: inne
opis miejsca: ogrodki dzialkowe paprotka
opis: dzien dobry,
mam ok 6 m3 drewna, tj. galezie, konary po tujach i jalowcach. czy mozna to do panstwa przywiezc na pszok?
dziekuje.";Segregacja
"temat: dzikie wysypiska
dzielnica: srodmiescie
opis miejsca: dzikie wysypisko zlokalizowane jest naprzeciwko kosciola na ul. swiatnickiej 34 na dzialce bedacej wlasnoscia gminy wroclaw obreb ksieze wielkie am 1 dzialka 17/2.
opis: dzikie wysypisko zlokalizowane jest naprzeciwko kosciola na ul. swiatnickiej 34 na dzialce bedacej wlasnoscia gminy wroclaw obreb ksieze wielkie am 1 dzialka 17/2.";Sprzatanie miasta
"temat: pas drogowy – zielence
dzielnica: krzyki
opis miejsca: od skrzyzowania z ul. opolska do petli autobusowej (51.069967, 17.097560) po obu stronach jezdni.
opis: zanieczyszczenie terenow zielonych wzdluz jezdni glownie butelki plastikowe i szklane oraz opony.";Sprzatanie miasta
"temat: przepelnienie pojemnika
odpady: tworzywa sztuczne, metale, opakowania wielomaterialowe
pojemniki: pojemniki 60-1100 l
opis: mamy przepelniony pojemnik na plastik. nikt nie odbieral od tygodnia. odpady juz sie wysypuja dookola bo nie ma gdzie wrzucic. prosze o odbior z kontenera i tego co dookola w workach.";Wywoz odpadow
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: odpady zielone
pojemniki: worki
opis: prosze po raz kolejny o wywoz workow z liscmi. dzwonilam w tamtym tygodniu ,pani obiecywala,ze zostana wywiezione,no niestety nie zostaly zabrane,wczoraj wg harmonogramu rowniez nie zostaly wywiezione.
zalegaja miesiac.
prosze przyjechac zabrac.
worki z liscmi sa wystawione na chodnik .
pozdrawiam i dziekuje za pozytywne zalatwienie sprawy.";Wywoz odpadow
"temat: dzikie wysypiska
dzielnica: krzyki
opis miejsca: od ulicy leona popielskiego w gore do kladki nad torami.
opis: zanieczyszczenie pasa zieleni wzdluz jezdni odpadami plastikowymi oraz 2 dzikie wysypiska (zaznaczone okregami na mapie).";Sprzatanie miasta
"temat: dzikie wysypiska
dzielnica: krzyki
opis miejsca: od skrzyzowania z ul. moscickiego w gore do kladki nad torowiskiem
opis: zanieczyszczenie pasa zieleni wzdluz jezdni odpadami plastikowymi oraz 1 dzikie wysypiska (zaznaczone okregami na mapie).";Sprzatanie miasta
"temat: uszkodzenie pojemnika – koniecznosc wymiany
odpady: zmieszane odpady komunalne
pojemniki: pojemnik 1100l
opis: informuje,ze jeden z pojemnikow na odpady zmieszane ma uszkodzone dno i przecieka, natomiast 
pojemnik niebieski, na papier ma uszkodzone kolo i jest nie zdatny do uzytku.";Pojemniki/worki na odpady
"temat: pas drogowy – zielence
dzielnica: krzyki
opis miejsca: pasy zieleni pomiedzy chodnikami a droga, po obu stronach ulicy cedrowej od ul.topolowej 3 i 5 do ronda tj. do ul.pionierow
opis: prosze o posprzatanie pasow zieleni ktore znajduja sie pomiedzy chodnikami a droga,  jest bardzo duzo smieci na pasach zieleni.";Sprzatanie miasta
"temat: pas drogowy – zielence
dzielnica: krzyki
opis miejsca: pasy zieleni pomiedzy chodnikami a droga, po obu stronach ulicy wilenskiej tj. od ronda  ul.pionierow do konca budynkow przy ul.wilenskiej tj. do bramy nr 1 (za skrzyzowaniem z ul.syjamska)
opis: prosze o posprzatanie pasow zieleni ktore znajduja sie pomiedzy chodnikami a droga,  jest bardzo duzo smieci na pasach zieleni.";Sprzatanie miasta
"temat: tereny zewnetrzne – inne
dzielnica: krzyki
opis miejsca: skwerek zielony pomiedzy ul.pakistanska a ul.afganska oraz teren zielony przy ul.semaforowej dzialka znajdujaca sie przed sklepem biedronka
opis: prosze o posprzatanie terenow zewnetrznych, sa bardzo zasmiecone.";Sprzatanie miasta
"temat: przepelnienie pojemnika
odpady: zmieszane odpady komunalne
pojemniki: pojemniki 10 m3
opis: prosze o natychmiastowe oproznienie pojemnikow na odpady";Wywoz odpadow
"temat: brak worka na odpady
odpady: odpady zielone
pojemniki: worek 120l
opis: dzien dobry,
po dzisiejszym odbiorze odpadow zielonych panowie znowu nie zostawili workow na wymiane.
prosze o przywiezienie w takim ukladzie 100 workow na zapas, chyba, ze jednak podczas zabierania beda zostawiane nowe.
pozdrawiam
agnieszka klonowska
manager";Pojemniki/worki na odpady
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: papier i tektura
pojemniki: pojemniki/dzwony do zbiorki selektywnej
opis: witam!
chcialem zglosic, ze z mojej posesji nie zostaja zabierane odpady segregowane. pojemniki na szklo, papier stoja w wydzielonym na smieci miejscu przed budynkiem zaraz obok furtki (trudno je nie zauwazyc!).
bardzo prosze o zwrocenie uwagi na to odbierajacym smieci, bo pojemnik na szklo jest juz w tej chwili przepelniony a odbior ma byc w piatek.
z gory dziekuje za skuteczna interwencje!";Wywoz odpadow
"temat: zmiana wielkosci pojemnika
odpady: zmieszane odpady komunalne
pojemniki: pojemnik 240l
opis: witam , 
prosze  o zmiane z pojemnika 120 l. na pojemnik 240 l. na wywoz odpadow komunalnych mieszanych.
pozdrawiam
      zenon janiszewski";Pojemniki/worki na odpady
"temat: brak odbioru odpadow zgodnie z harmonogramem
odpady: zmieszane odpady komunalne
pojemniki: pojemniki 60-1100 l
opis: dzien dobry,
dzisiaj nie zostaly odebrane smieci zmieszane z oslony smietnikowej graniczna 2b-2bh - pierwsza oslona przy castoramie, od strony 'pola'.
pozdrawiam";Wywoz odpadow
